age,hdlngth,skullw
8,94.1,60.4
6,92.5,57.6
6,94,60
6,93.2,57.1
2,91.5,56.3
1,93.1,54.8
2,95.3,58.2
6,94.8,57.6
9,93.4,56.3
6,91.8,58
9,93.3,57.2
5,94.9,55.6
5,95.1,59.9
3,95.4,57.6
5,92.9,57.6
4,91.6,56
1,94.7,67.7
2,93.5,55.7
5,94.4,55.4
4,94.8,56.3
3,95.9,58.1
3,96.3,58.5
4,92.5,56.1
2,94.4,54.9
3,95.8,58.5
7,96,59
2,90.5,54.5
4,93.8,56.8
3,92.8,56
2,92.1,54.4
3,92.8,54.1
4,94.3,56.7
3,91.4,54.6
2,90.6,55.7
4,94.4,57.9
7,93.3,59.3
2,89.3,54.8
7,92.4,56
1,84.7,51.5
3,91,55
3,85.3,54.1
2,90,55.5
3,90.7,55.9
2,90.1,54.8
5,98.6,63.2
4,95.4,59.2
5,91.6,56.4
5,95.6,59.6
6,97.6,61
3,93.1,58.1
7,96.9,63
2,103.1,63.2
3,99.9,61.5
4,95.1,59.4
3,94.5,64.2
2,102.5,62.8
2,91.3,57.7
7,95.7,59
3,91.3,58
6,92,56.4
3,96.9,56.5
5,93.5,57.4
3,90.4,55.8
4,93.3,57.6
5,94.1,56
5,98,55.6
7,91.9,56.4
6,92.8,57.6
1,85.9,52.4
1,82.5,52.3
4,88.7,52
6,93.8,58.1
5,92.4,56.8
6,93.6,56.2
1,86.5,51
1,85.8,50
1,86.7,52.6
3,90.6,56
4,86,54
3,90,53.8
3,88.4,54.6
3,89.5,56.2
3,88.2,53.2
2,98.5,60.7
2,89.6,58
6,97.7,58.4
3,92.6,54.6
3,97.8,59.6
2,90.7,56.3
3,89.2,54
7,91.8,57.6
4,91.6,56.6
4,94.8,55.7
3,91,53.1
5,93.2,68.6
3,93.3,56.2
1,89.5,56
1,88.6,54.7
6,92.4,55
4,91.5,55.2
3,93.6,59.9
